"Hogar","Factor","Comuna","Personas","Vehículos","BicicletasAdulto","BicicletasNino","IngresoHogar","Hombres","Mujeres","LicenciasdeConducir","PasesEscolares","Trabajadores","Estudiantes","Jubilados","DuenosdeCasa","Desempleados","Otros","Niños","Jovenes","AdultoJovenes","Adultos","AdultoMayores","Discapacidad","ViajesTrabajo","ViajesEstudio","ViajesOtro"
"1740","31.927030563354","CALERA DE TANGO","3","0","0","0","200000","2","1","1","0","1","1","0","1","0","0","0","1","0","2","0","0","3","2","7"
"1741","129.77743530273","PUENTE ALTO","3","0","1","0","702350","1","2","0","0","3","0","0","0","0","0","0","0","1","2","0","0","6","0","0"
"1742","74.510391235352","PUENTE ALTO","4","0","1","0","275123","3","1","0","1","1","1","0","1","0","1","1","1","0","2","0","0","2","2","4"
"1743","133.71224975586","LAS CONDES","3","0","3","0","1375239","2","1","3","1","2","1","0","0","0","0","0","0","1","2","0","0","4","2","4"
"1744","266.11358642578","RECOLETA","2","1","0","0","820204","1","1","1","0","1","0","1","0","0","0","0","0","0","1","1","1","3","0","3"
"1745","55.082019805908","MAIPU","3","1","0","0","494232","1","2","1","1","1","1","0","0","0","1","1","0","0","2","0","0","2","2","0"
"1746","61.377544403076","LAS CONDES","2","1","0","0","1354691","1","1","1","0","1","1","0","0","0","0","0","1","0","1","0","0","1","2","3"
"1747","75.526031494141","BUIN","5","0","1","1","357368","2","3","1","1","1","2","0","1","1","0","0","2","1","2","0","0","2","4","2"
"1748","89.351051330566","PUDAHUEL","1","1","0","0","172313","0","1","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","4"
"1749","114.37532043457","PUENTE ALTO","3","0","1","0","447935","1","2","0","2","1","2","0","0","0","0","0","2","0","1","0","0","2","4","0"
"1750","238.79206848144","LAS CONDES","4","2","2","0","1810093","1","3","2","0","3","0","0","1","0","1","1","0","0","3","0","0","6","0","8"
"1751","100.39987182617","QUILICURA","3","0","0","0","196518","1","2","0","0","0","1","0","0","2","0","0","1","1","1","0","0","0","2","4"
"1752","133.44551086426","CERRO NAVIA","2","0","1","0","162000","1","1","0","0","0","0","2","0","0","0","0","0","0","1","1","0","0","0","13"
"1753","79.153190612793","LA REINA","5","1","2","1","1786476","4","1","2","2","2","2","0","0","0","1","1","2","0","2","0","0","2","4","8"
"1754","91.500061035156","COLINA","4","0","2","0","310000","0","4","0","0","1","0","2","1","0","0","0","0","1","2","1","3","2","0","2"
"1755","143.86935424805","LO PRADO","1","0","0","0","200000","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","2"
"1756","46.664623260498","ÑUÑOA","4","1","2","0","1561006","2","2","2","0","1","1","1","1","0","2","0","1","0","1","2","2","2","0","2"
"1757","48.4289894104","QUILICURA","5","1","0","2","386283","4","1","1","0","1","1","0","1","0","2","2","1","0","2","0","0","4","2","6"
"1758","100.23590087891","PROVIDENCIA","1","0","0","0","221706","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","6"
"1759","102.87203216553","PADRE HURTADO","4","1","1","1","89720","2","2","2","0","0","2","0","1","1","0","1","1","0","2","0","0","0","4","2"
"1760","62.721946716309","QUINTA NORMAL","2","0","1","0","310000","1","1","0","0","1","0","2","1","0","1","0","0","0","0","2","1","0","0","2"
"1761","68.933631896973","SAN RAMON","5","0","1","0","594396","4","1","0","0","2","1","1","0","1","0","0","1","0","4","0","0","2","2","6"
"1762","169.86285400391","PUDAHUEL","6","1","1","0","738583","3","3","3","1","3","1","0","1","1","0","0","1","1","4","0","0","8","0","4"
"1763","58.875778198242","PUENTE ALTO","4","1","0","0","1195904","2","2","1","3","3","1","1","1","0","0","0","0","1","3","0","0","6","0","0"
"1764","43.990146636963","ÑUÑOA","4","1","2","1","1178748","3","1","2","0","2","2","0","1","0","1","2","0","0","2","0","0","2","1","8"
"1765","134.95864868164","PUENTE ALTO","2","0","1","2","600000","1","1","0","0","1","0","1","0","0","1","0","0","0","1","1","1","2","0","0"
"1766","61.896945953369","LAS CONDES","2","1","2","0","863658","1","1","2","0","1","1","0","0","0","0","0","0","0","2","0","0","4","2","5"
"1767","80.509063720703","CERRILLOS","3","1","1","0","440000","0","3","1","0","1","1","1","0","0","0","0","0","1","1","1","0","2","2","2"
"1768","80.580505371094","LAS CONDES","3","1","2","0","544139","0","3","1","1","1","1","0","1","0","0","0","0","1","2","0","0","0","2","2"
"1769","73.528167724609","QUILICURA","4","0","1","0","564957","2","2","0","0","1","0","0","1","0","2","2","0","0","2","0","0","2","0","8"
"1770","127.03436279297","LO ESPEJO","2","0","0","0","300000","2","0","0","0","0","0","1","0","0","1","0","0","0","1","1","1","0","0","2"
"1771","84.835235595703","PUENTE ALTO","4","0","0","1","377991","1","3","0","0","1","1","0","1","0","1","1","1","0","2","0","0","2","2","4"
"1772","58.13045501709","PEÑALOLEN","5","0","0","0","359477","3","2","0","0","1","1","1","1","0","1","0","1","0","4","0","1","2","2","0"
"1773","98.876014709473","LA FLORIDA","3","0","0","0","628842","2","1","2","2","2","2","0","0","0","0","0","0","1","2","0","0","3","4","0"
"1774","188.56799316406","LO BARNECHEA","4","2","2","2","2564470","3","1","2","0","1","2","0","1","0","0","1","1","0","2","0","0","2","4","2"
"1775","120.54947662353","LO PRADO","2","0","0","0","163134","1","1","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","12"
"1776","67.9091796875","LA REINA","4","3","0","0","2538112","2","2","4","0","4","0","0","0","0","0","0","0","0","4","0","0","4","0","7"
"1777","123.31573486328","ÑUÑOA","4","2","2","0","1478331","2","2","3","1","2","1","1","0","0","1","0","0","1","2","1","1","4","2","0"
"1778","73.650047302246","PADRE HURTADO","3","0","0","0","368782","2","1","0","0","1","1","0","1","0","0","1","1","0","1","0","0","1","2","4"
"1779","69.352577209473","PUENTE ALTO","4","0","0","0","106035","2","2","0","0","1","0","0","1","0","2","1","1","0","2","0","0","0","0","8"
"1780","187.56440734863","BUIN","2","0","0","0","652996","0","2","2","0","0","0","2","0","0","0","0","0","0","1","1","0","0","0","4"
